"date","mood","arousal","valence","activity","screen","builtin","communication","entertainment","office","other","social","travel","unknown","utilities","weather"
2014-05-11,6.2,0.4,0,0.0733047385620915,5422.55400061607,3459.921,2786.466,9.052,NA,43.603,1261.893,70.547,NA,NA,20.033
2014-05-12,6.4,0,0.4,0.015353740366203,8348.15000057221,3240.608,3746.153,326.994,NA,31.537,2868.964,NA,122.736,24.091,NA
2014-05-13,7,0.4,0.6,0.129871835244506,7440.5710003376,5164.12,2319.525,41.431,NA,33.696,2278.385,NA,2.008,NA,NA
2014-05-14,6,0,0,0.0924983482093402,4245.3759996891,3550.947,2376.884,40.643,NA,33.237,1155.347,NA,NA,NA,NA
2014-05-15,6.4,0.2,0.2,0.141308296823003,13098.3080005646,1464.056,8952.588,124.086,NA,29.367,2429.007,70.374,NA,24.071,NA
2014-05-16,7.4,0.6,0.8,0.107086579057487,9174.19400024414,2902.587,4533.666,95.791,NA,39.31,2874.238,NA,NA,24.199,NA
2014-05-17,7.4,0.5,0.5,0.133426704014939,4837.18700098991,1027.73,1690.919,271.807,NA,39.566,2180.738,54.498,NA,NA,NA
2014-05-18,7.2,0.4,0.8,0.0943671218487395,6905.07699918747,1073.305,1995.656,143.463,NA,44.459,3086.469,NA,878.506,26.175,NA
2014-05-19,7.4,-0.4,1,0.0749804158951716,5976.55100011825,665.474,1663.259,117.722,NA,46.23,3481.331,NA,NA,NA,NA
2014-05-20,7.6,-0.4,0.8,0.11844070961718,10832.1000008583,1432.376,2015.69,154.932,NA,40.161,6976.95,106.591,103.927,NA,NA
2014-05-21,7,0.2,0.8,0.128770088543892,4179.6880004406,680.776,1597.778,74.708,NA,41.678,1774.084,NA,NA,NA,8.031
2014-05-22,6.6,-0.2,0.4,0.143475723622782,7370.64399838448,2613.795,2025.722,92.818,NA,30.514,2650.213,NA,NA,24.179,8.066
2014-05-23,6.2,0.2,0,0.104034602971623,5323.31600022316,2374.95,2416.018,NA,NA,36.383,1301.814,54.423,NA,NA,NA
2014-05-24,7.6,-0.2,1,0.138810683080997,7953.68800067902,1882.163,2767.088,181.459,NA,623.762,2794.368,162.437,NA,23.201,NA
2014-05-25,8,-0.5,1,0.129498162259254,8241.52399873734,3005.024,2490.478,202.232,NA,39.424,2637.263,72.582,NA,NA,NA
2014-05-26,7.2,0.2,1,0.0546538932682217,7007.02599930763,1379.55,2083.561,294.056,NA,55.459,3128.366,NA,NA,NA,98.808
2014-05-27,5.8,0,-0.2,0.0271357016768879,8511.27300047875,3702.966,2992.702,246.942,NA,33.33,3955.803,NA,51.333,27.128,131.164
2014-05-28,5.4,0.6,-0.4,0.0792991739873079,10891.4640011787,8256.859,3292.135,506.633,NA,59.297,5194.727,136.843,NA,NA,184.321
2014-05-29,7.4,0,0.8,0.0285714285714286,194.84099984169,21.747,150.448,NA,NA,7.049,NA,NA,NA,NA,NA
2014-05-30,6.4,-0.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
