"date","mood","arousal","valence","activity","screen","builtin","communication","entertainment","finance","office","other","social","travel","unknown","utilities"
2014-04-27,7,0.75,0.6,0.149305555555556,2502.14400029182,308.495,3035.294,NA,NA,NA,9.069,NA,NA,NA,NA
2014-04-28,7,1,0.4,0.07,1930.90799999237,464.386,3209.685,NA,96.649,NA,28.163,NA,NA,NA,NA
2014-04-29,7,1,0.333333333333333,0.04,55.154000043869,14.92,543.619,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-30,6,1.4,-0.4,0.136363636363636,193.601000070572,121.243,NA,NA,NA,NA,206.083,NA,NA,NA,NA
2014-05-01,6.6,-0.2,0,0,59.6670000553131,59.655,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-02,7,0.2,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-03,6.8,0.2,0.2,0.0714285714285715,585.027000188828,243.495,312.229,NA,NA,NA,15.069,14.115,NA,NA,NA
2014-05-04,7,-0.2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-05,7,1,0.75,0,172.111999750137,174.084,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-06,NA,NA,NA,0.343685300207039,1658.53600001335,636.768,1154.761,672.08,NA,NA,NA,55.366,23.103,NA,NA
2014-05-07,7,0,0.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-08,7,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
