"date","mood","arousal","valence","activity","screen","builtin","communication","entertainment","office","other","social","travel","unknown","utilities"
2014-03-05,6.33333333333333,0,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-06,7.2,-0.6,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-07,7.4,0.6,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-08,7,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-09,7.2,-1,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-10,6.8,-1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-11,6.6,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-12,7,0.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-13,6.6,0,0.6,NA,825.998000383376,169.212,287.188,NA,NA,208.855,200.951,NA,NA,13.062
2014-03-14,7.4,-0.2,1.2,NA,3377.38200068474,592.733,382.769,NA,NA,42.258,861.507,1277.345,180.247,20.109
2014-03-15,6.4,-0.6,0.6,NA,1200.81200027466,68.456,382.204,77.59,17.086,71.725,581.688,NA,NA,NA
2014-03-16,7,-1.25,1.25,NA,2440.10299992561,149.23,1753.462,NA,NA,56.275,469.405,NA,NA,11.119
2014-03-17,5.4,0,0.2,0.00555555555555555,1418.6890001297,56.584,5763.016,NA,NA,68.395,6973.934,NA,NA,NA
2014-03-18,6.4,-0.2,0.6,0.0284913617819379,1318.16999959946,5.92,716.896,142.79,NA,47.137,403.437,NA,NA,NA
2014-03-19,7,-0.2,1,0.0630171632209882,1827.45999908447,49.837,1011.71,26.471,NA,64.362,655.237,NA,NA,18.196
2014-03-20,6.4,-0.2,0.8,0.0575238776758923,1096.54999947548,4862.881,279.44,NA,NA,48.01,669.326,NA,NA,NA
2014-03-21,6.6,-0.4,0.6,0.00894230236465268,2857.9249997139,215.864,2477.42,NA,NA,52.181,1085.183,NA,NA,48.316
2014-03-22,6.4,-0.4,0.8,0.0222314544523495,866.594000339508,10.557,4329.022,NA,NA,43.157,452.757,89.938,NA,16.075
2014-03-23,7.2,-0.2,0.8,0.0421848253883106,1374.58100032806,86.199,372.317,NA,NA,4065.138,1612.935,323.241,NA,82.451
2014-03-24,6.8,-0.8,1,0.0463079127626616,1967.9929997921,14.427,194.055,NA,NA,52.023,1700.212,NA,NA,11.063
2014-03-25,7.2,-0.6,1,0.0168976618425148,726.282999992371,73.604,1469.956,89.12,NA,46.936,441.331,NA,NA,NA
2014-03-26,6.5,-0.25,0.5,0.0895013931186419,1818.45100092888,330.846,895.011,112.399,161.499,45.978,413.674,NA,NA,11.029
2014-03-27,6.33333333333333,0,0.5,0.0870115013606353,2483.28200030327,128.185,1976.788,NA,NA,56.987,2145.012,NA,358.674,24.05
2014-03-28,6.25,-0.25,0.5,0.0165597620461136,1936.65800023079,834.408,959.256,NA,NA,52.028,706.401,NA,167.534,NA
2014-03-29,7.16666666666667,-0.166666666666667,1,0.024944120627437,1191.82900071144,46.795,536.168,64.889,NA,61.195,445.501,NA,NA,NA
2014-03-30,6.8,0,0.6,0.0784470781932718,779.892998933792,9.926,218.915,NA,NA,43.082,506.555,NA,NA,NA
2014-03-31,7.6,0,1.2,0.0789346518177163,1670.54099965095,3.048,1230.323,20.184,NA,50.666,457.422,NA,NA,14.035
2014-04-01,7.2,-1,1,0.0623538545853124,2074.41900062561,28.205,1623.59,92.105,NA,59.789,974.317,NA,NA,3.005
2014-04-02,6.6,-0.4,0.8,0.00828954735938543,696.810000658035,33.864,1809.842,19.154,NA,51.734,208.186,NA,NA,20.146
2014-04-03,7,0,1.33333333333333,0.0787678856372969,2837.61799883843,36.467,2364.911,NA,NA,107.158,758.856,NA,NA,50.577
2014-04-04,7.5,0.25,1.25,0.0311239725872736,1265.50800085068,168.297,863.472,NA,NA,34.475,1643.455,NA,NA,9.065
2014-04-05,7.4,0.2,1.2,0.128414141414141,1735.44799995422,8.64,951.811,76.908,NA,46.662,633.521,NA,NA,17.057
2014-04-06,7.6,0,1.25,0.00728023528880459,1296.00800037384,69.105,331.962,11.032,NA,34.396,532.817,NA,NA,11.055
2014-04-07,7,0,1,0.10247313379515,4442.05399847031,365.502,2379.268,368.396,NA,69.48,1248.486,NA,7.028,NA
2014-04-08,6.5,-0.25,0.5,0.0581482922279692,2564.48700094223,67.864,1572.274,93.167,NA,56.654,1078.93,NA,NA,31.197
