"date","mood","arousal","valence","activity","screen","builtin","communication","entertainment","finance","game","office","other","social","travel","unknown","utilities","weather"
2014-02-26,6.25,-0.25,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-27,6.33333333333333,0,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-20,NA,NA,NA,0.081547619047619,2275.94400024414,248.979,2168.229,350.856,NA,NA,NA,11.345,807.731,NA,45.173,21.074,NA
2014-03-21,6.2,0.2,0.2,0.134050103989389,17978.9070000648,3139.218,6280.89,1007.456,49.544,NA,172.206,239.751,4508.5,915.445,NA,598.754,NA
2014-03-22,6.4,0.6,0.5,0.236880219239958,6142.16099953651,731.429,4962.918,93.324,21.076,NA,NA,98.143,439.632,37.305,NA,117.621,NA
2014-03-23,6.8,0.2,0.8,0.142741115805064,6773.83200144767,1286.246,5237.319,94.346,43.403,NA,NA,72.823,900.839,NA,NA,30.086,30.386
2014-03-24,6,0.8,0,0.078961056115598,15047.3510005474,866.956,9270.629,976.971,34.106,NA,3.01,66.558,3223.626,419.805,NA,178.732,NA
2014-03-25,6.75,0.5,0.5,0.0983741123905068,21475.3549990654,1032.768,10276.751,68.206,43.054,NA,NA,178.819,1919.471,NA,235.223,222.893,NA
2014-03-26,6.6,-0.2,0.6,0.101308321670076,16423.8010003567,1167.497,8988.753,910.479,52.331,NA,NA,97.498,4592.059,NA,NA,33.365,NA
2014-03-27,7,0.2,0.8,0.159510640969097,17442.1499993801,1229.327,6936.512,639.339,42.219,NA,182.451,58.532,935.381,47.314,NA,179.029,NA
2014-03-28,6.4,-0.6,0.6,0.0956980216371201,4923.48899960518,10062.595,866.833,1005.403,89.166,233.036,NA,225.951,512.741,1133.009,NA,301.717,NA
2014-03-29,8,0.2,1,0.0682028101018696,8322.6219997406,1952.63,2720.692,1627.429,NA,NA,NA,169.594,472.888,52.435,NA,600.637,NA
2014-03-30,7.5,-0.5,0.75,0.049092970521542,4523.21400094033,414.365,1298.505,1535.677,NA,NA,NA,74.003,167.685,NA,66.477,38.296,NA
2014-03-31,7.4,0,0.6,0.0705054808833896,11836.834000349,2961.405,5332.637,1758.92,41.255,51.176,NA,268.554,1350.655,183.381,29.29,210.305,NA
2014-04-01,6,0.2,0,0.118443242712736,17173.9060020447,1385.517,6095.526,1030.637,547.826,234.741,92.388,121.19,5040.067,1614.621,NA,517.636,NA
2014-04-02,6.5,0.333333333333333,0.666666666666667,0.101916610638223,21358.510999918,3614.349,6920.156,1343.376,247.777,NA,90.481,541.541,3428.792,NA,NA,341.371,NA
2014-04-03,6.4,-1.2,0,0.0492384727084411,21401.8350007534,2321.464,14438.082,1293.631,76.234,NA,NA,213.902,3154.241,19.082,NA,182.772,NA
2014-04-04,6.2,0.2,0.4,0.126689311207326,12379.4110000134,1957.829,5481.628,1545.227,NA,NA,NA,176.801,2086.197,158.241,NA,128.692,NA
2014-04-05,6.8,-0.4,0.6,0.119002302203446,3340.43099999428,15159.19,1885.409,76.369,NA,NA,NA,81.133,363.208,187.945,NA,118.956,NA
2014-04-06,6.5,-0.75,0.5,0.0644077994424681,7467.32199978828,4548.662,3355.743,187.214,NA,114.406,NA,119.12,321.46,NA,NA,46.249,NA
