"date","mood","arousal","valence","activity","screen","builtin","communication","entertainment","finance","game","office","other","social","travel","unknown","utilities"
2014-03-22,7.4,0.4,0.8,0.192769587553984,5978.72000074386,1991.859,9975.141,1666.558,NA,NA,NA,143.685,1355.888,64.724,NA,17.126
2014-03-23,7.4,0.8,0.8,0.0700927019004038,5473.925999403,2399.932,2809.858,2145.609,NA,NA,NA,35.186,1554.242,135.242,NA,NA
2014-03-24,7,0.666666666666667,0.666666666666667,0.169408738292795,11954.3410000801,889.64,2423.759,721.972,NA,NA,NA,36.194,1275.068,690.119,NA,42.139
2014-03-25,7.5,0.5,1,0.0620226686501575,3498.11699962616,129.32,1289.057,1791.651,NA,NA,269.322,27.1,1373.946,NA,NA,9.866
2014-03-26,7.2,0.2,0.8,0.0685370970422067,7079.62100148202,604.579,1706.992,3070.042,NA,NA,NA,112.919,1469.182,NA,NA,85.451
2014-03-27,7.2,0.4,0.6,0.0906331678707439,5825.13200139999,663.981,4890.151,2036.394,NA,NA,NA,45.212,1500.51,263.167,NA,NA
2014-03-28,7.2,0.6,1,0.251036829986232,9430.21600079536,376.56,3943.449,791.014,NA,NA,30.121,204.161,1161.41,329.95,NA,NA
2014-03-29,6.8,0.6,0.6,0.209288215684651,5742.62800168991,591.76,1405.81,1680.342,21.08,NA,NA,45.154,2533.09,195.447,NA,NA
2014-03-30,8,1,1,0.00833333333333333,591.533999681473,112.634,306.951,NA,NA,NA,NA,32.299,112.483,59.765,NA,NA
2014-03-31,7.25,0.5,1,0.0979860517653389,5835.67500138283,536.623,1522.141,932.084,NA,NA,NA,581.246,2770.202,8194.607,NA,105.084
2014-04-01,7.4,0.6,1,0.146776392180804,5640.40600109101,1052.414,4033.676,2111.136,NA,NA,789.73,298.982,1112.984,137.781,NA,9.317
2014-04-02,7.5,0.25,0.75,0.0901766647503505,7401.75599956512,1127.637,786.374,1718.078,NA,NA,166.794,187.99,1459.598,150.554,NA,71.206
2014-04-03,7.2,0.2,1,0.124203431372549,7496.89000105858,1421.826,2381.549,2304.94,NA,NA,36.243,227.182,1450.005,128.398,NA,20.074
2014-04-04,7,-0.6,0.8,0.15983601774043,4548.27100181579,266.793,713.275,1895.053,NA,NA,67.059,44.382,1153.222,NA,NA,NA
2014-04-05,7,0.2,1,0.1891397978683,4252.75600075722,242.997,1812.734,778.512,NA,NA,NA,43.366,399.056,15.843,NA,NA
2014-04-06,7.25,0.25,1.25,0.036888059227794,3759.11199951172,147.799,670.513,1823.665,NA,NA,NA,101.225,538.17,NA,NA,NA
2014-04-07,7,1,1,0.0489995128486177,8653.17100048065,167.162,935.613,1164.872,NA,NA,NA,23.193,1230.794,NA,NA,NA
2014-04-08,7,0.4,1,0.026065395166331,10594.2939994335,2459.108,3043.116,2372.613,NA,NA,905.018,48.317,1393.574,282.706,206.937,16.049
2014-04-09,7,0.25,1,0.10923143184508,6714.67299962044,569.142,1714.014,4358.969,NA,NA,378.202,91.727,813.354,265.778,NA,4.031
2014-04-10,6.75,1,1,0.100773883502484,8127.94899988175,570.605,3379.993,2517.966,NA,NA,51.252,186.318,1933.5,172.989,NA,NA
2014-04-11,7.2,0.4,1,0.207373650242366,3660.48300004006,1072.689,495.892,952.045,NA,NA,NA,39.482,1437.195,141.109,NA,57.441
2014-04-12,7.2,0.4,1,0.165953201886933,4691.58399939537,1124.295,1120.927,1688.09,NA,NA,NA,39.148,1097.988,NA,NA,NA
2014-04-13,7.2,-0.2,1,0.0756640189523358,7935.84899973869,606.384,1391.323,3120.553,NA,NA,NA,55.028,2574.059,206.014,NA,20.159
2014-04-14,7,0.8,1,0.0851143385464617,1618.49099946022,459.03,379.326,NA,NA,NA,148.85,49.45,319.57,271.426,NA,NA
2014-04-15,7,0.4,1,0.102236284708848,8146.62099957465,1072.73,6544.821,1837.457,NA,NA,13.126,852.465,1506.494,82.572,NA,NA
2014-04-16,7.2,0.8,1,0.111374178398409,6143.12800264358,685.23,3554.094,762.935,NA,NA,55.257,46.701,1023.391,196.313,NA,28.097
2014-04-17,7,0.4,1,0.116150874870911,4463.33599972725,366.358,1653.319,1243.039,NA,NA,NA,43.743,1491.976,NA,NA,4.649
2014-04-18,7,1,1,0.188554519984949,3577.13199973107,147.635,1356.686,2022.897,NA,NA,NA,33.187,53.717,NA,NA,5.019
2014-04-19,7,1,1,0.167239334976181,1341.79600143433,52.388,979.826,NA,NA,NA,NA,43.589,265.539,NA,NA,NA
2014-04-20,7.2,0.4,1,0.121165260236724,9982.98700022697,415.239,3841.098,2299.942,NA,NA,256.297,43.058,2371.312,783.464,NA,NA
2014-04-21,7.4,0.4,1,0.0881963953222814,2261.77300024033,126.5,3363.066,350.995,NA,NA,NA,61.703,389.949,19.146,NA,3.01
2014-04-22,6.6,0.6,1,0.0506214985994397,8438.16700053215,384.681,4934.477,2027.876,NA,NA,NA,46.482,1561.552,72.052,NA,NA
2014-04-23,7.25,1,1,0.0718359133743876,9992.20900082589,681.899,3622.032,2265.855,NA,NA,31.128,45.771,1197.938,467.853,NA,NA
2014-04-24,7.2,1,1,0.109817762342156,8335.32600092888,15122.509,2041.489,1305.854,NA,2562.907,NA,40.536,2004.768,289.234,NA,NA
2014-04-25,7.2,0.4,1,0.203660979791081,3992.06799936295,845.952,4366.47,1495.172,NA,NA,352.317,121.057,333.256,1115.524,NA,8.035
2014-04-26,8,1,1,0.186837621345587,1809.50599789619,716.086,2689.61,NA,NA,NA,NA,55.558,124.621,NA,NA,NA
2014-04-27,7.2,1,1,0.108814824139022,4989.77799963951,13619.168,3288.912,864.042,NA,NA,NA,34.075,2141.022,27.316,NA,NA
2014-04-28,6.75,0.75,0.333333333333333,0.0973874543644081,5219.57799935341,333.772,2307.996,1345.784,NA,NA,259.152,44.739,769.875,825.582,NA,3.079
2014-04-29,7,0.8,1,0.110430618271091,5399.91299843788,459.558,2078.111,1608.309,NA,NA,NA,35.562,1062.885,1709.094,NA,NA
2014-04-30,7,1,1,0.12463316853669,3284.85399961472,11485.857,3288.854,109.149,60.552,NA,NA,44.38,759.032,391.944,NA,34.883
2014-05-01,8,1,1,0.0823465250619926,6613.07899975776,270.614,920.841,13.036,NA,5364.334,NA,8.034,78.019,NA,NA,15.057
2014-05-02,7,1,1,0.258464889331664,2847.15500116348,5902.652,1199.825,NA,NA,NA,NA,22.708,714.733,917.305,NA,NA
2014-05-03,7.25,-1,1,0.336338581282816,3205.65799999237,633.394,1066.229,161.651,NA,NA,NA,44.149,1463.175,10548.116,NA,9.029
2014-05-04,NA,NA,NA,0.0148827263568022,6085.92300081253,316.415,1980.618,NA,NA,NA,NA,26.455,188.853,NA,NA,NA
2014-05-05,7.5,1,1,0.120825196770851,2093.75099945068,85.5,921.79,20.078,NA,NA,NA,22.224,767.06,228.559,NA,47.956
