"date","mood","arousal","valence","activity","screen","builtin","communication","entertainment","finance","game","office","other","social","travel","unknown","utilities"
2014-04-26,8,-1,1,0.133497536945813,184.459000349045,9402.421,29.208,NA,NA,NA,NA,15.087,NA,NA,NA,NA
2014-04-27,7.66666666666667,0,1,0.003125,439.141000032426,233.617,162.703,NA,NA,NA,NA,42.509,NA,NA,NA,NA
2014-04-28,NA,NA,NA,0,56.5980002880097,56.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-29,NA,NA,NA,0.0037037037037037,170.510999917984,200.214,27.243,NA,NA,NA,NA,9.134,NA,NA,NA,NA
2014-04-30,7,1,1,0.0567460317460317,172.038000106811,145.4,8.086,NA,NA,NA,NA,18.492,NA,NA,NA,NA
2014-05-01,6,0,0.5,0.0829640707507108,302.809000015259,133.464,NA,NA,NA,NA,NA,30.71,179.511,NA,NA,NA
2014-05-02,6.66666666666667,0.333333333333333,1,0.0125,288.268000125885,240.869,7.036,NA,NA,NA,NA,51.398,NA,NA,NA,NA
2014-05-03,6.8,0.2,1,0.00381944444444444,694.194000244141,489.037,117.48,NA,NA,NA,NA,66.292,21.135,NA,NA,NA
2014-05-04,6.8,0,0.8,0.000694444444444444,354.138000488281,209.419,59.026,NA,NA,NA,NA,54.526,31.135,NA,NA,NA
2014-05-05,7,-1,1,0.00649350649350649,199.831000328064,4698.054,121.704,NA,NA,NA,NA,15.126,NA,NA,NA,NA
