"date","mood","arousal","valence","activity","screen","builtin","communication","entertainment","finance","game","office","other","social","travel","unknown","utilities","weather"
2014-04-08,8,0.5,1,0.181489262371615,8058.66199970245,1963.874,5442.807,NA,NA,162.551,348.156,223.067,1089.868,68.551,NA,NA,13.176
2014-04-09,7.4,0,0.2,0.101264880952381,9829.37600064278,1737.845,3686.954,1061.494,NA,530.014,124.362,370.1,2130.77,131.47,NA,4.123,51.726
2014-04-10,6.5,0.25,0.5,0.143133972338936,6600.75899934769,2422.842,3068.87,23.124,NA,34.28,74.541,316.397,2080.86,94.007,NA,NA,21.103
2014-04-11,7.75,-0.25,0.5,0.155299145299145,6472.98200058937,11468.3,2590.276,NA,NA,40.733,1.025,68.435,3991.986,NA,NA,NA,NA
2014-04-12,7,-0.2,0.6,0.0445573911159067,1214.84200048447,920.293,270.11,NA,NA,NA,20.135,82.652,862.836,NA,NA,NA,NA
2014-04-13,6.6,-0.4,0.4,0.0386104404618194,5777.40000009536,654.644,4003.095,NA,NA,275.758,54.747,89.641,646.166,NA,NA,NA,53.66
2014-04-14,6.4,0.6,0.2,0.0910960553185188,7802.63499903679,1398.889,5374.877,NA,NA,NA,NA,132.742,888.251,NA,NA,NA,7.031
2014-04-15,6.5,-0.25,0,0.0807479176257452,4465.84800195694,1238.695,2643.345,NA,NA,NA,NA,215.806,248.51,86.227,NA,NA,33.173
2014-04-16,7.2,0.2,0.6,0.105316025619053,7550.63399958611,1166.368,5329.13,60.439,NA,NA,164.333,283.215,519,22.274,NA,NA,5.033
2014-04-17,6.5,0,0,0.121784477582202,17583.1570014954,1823.599,9495.385,NA,NA,NA,404.332,119.726,5640.388,185.435,NA,NA,NA
2014-04-18,6.25,-0.25,0,0.0737268203759255,11757.9359989166,3726.79,7995.14,NA,NA,10.035,NA,228.335,606.196,157.3,NA,NA,NA
2014-04-19,7.5,-0.75,0,0.156112304623276,6101.4090013504,627.551,3223.56,NA,NA,142.374,25.15,646.583,1435.349,NA,NA,NA,NA
2014-04-20,6.8,0,0,0.0276315789473684,6041.11500096321,1530.109,3986.515,NA,NA,62.141,NA,126.14,244.9,37.179,NA,NA,52.599
2014-04-21,7.4,-0.4,0.8,0.090625,9379.37599992752,1965.809,3506.883,NA,NA,327.173,NA,190.284,2952.833,710.234,NA,NA,51.555
2014-04-22,8.25,0.25,1,0.127701651790246,11491.9310004711,5285.821,5716.108,NA,NA,18.07,90.801,227.819,277.755,45.257,NA,NA,NA
2014-04-23,6.5,-0.5,0,0.0759383608815427,8629.49499940872,1844.472,4852.758,NA,NA,NA,62.699,141.418,1772.123,NA,NA,NA,9.127
2014-04-24,6,-1.2,0,0.0857638888888889,9902.59000062942,2421.522,7469.537,NA,NA,125.654,NA,122.705,664.874,629.148,NA,NA,41.297
2014-04-25,6.25,-0.25,-0.25,0.0552083333333333,7663.56699943543,1773.287,3768.167,1186.037,NA,1137.587,2.012,96.91,86.349,NA,NA,NA,89.212
2014-04-26,7,0.5,1,0.171035659972826,7433.59100008011,1286.266,3882.575,NA,NA,NA,NA,64.717,2552.732,NA,NA,NA,NA
2014-04-27,7.4,0,0.8,0.0221957335593699,3357.76900053024,496.572,2359.354,NA,187.268,245.612,10.159,103.794,NA,NA,50.439,NA,NA
2014-04-28,7.2,0,0.4,0.121317693744164,13320.0889985561,2788.647,9636.67,312.591,NA,550.979,2.007,473.038,4.081,45.408,NA,NA,28.181
2014-04-29,6,-1.2,-0.6,0.0829631542699724,10994.9999995232,2111.729,7283.239,690.371,NA,436.248,NA,289.267,625.513,14.916,NA,NA,17.795
2014-04-30,6.2,0.8,-0.4,0.10852951516948,13423.6119987965,8460.894,7636.274,283.013,NA,NA,NA,250.056,NA,143.37,NA,NA,5.067
2014-05-01,7,-1,0.4,0.0871227072096056,11765.4649987221,1981.577,6950.956,NA,NA,NA,178.414,248.208,2177.511,208.069,NA,NA,15.079
2014-05-02,6.5,-0.75,0,0.137609649122807,6310.16900038719,2008.442,4310.322,NA,NA,171.17,9.071,163.991,263.197,388.273,NA,NA,NA
2014-05-03,6.4,-0.25,0,0.0592592592592592,11465.7760000229,3895.428,4909.918,338.399,31.148,78.087,NA,115.803,2120.875,NA,NA,NA,NA
2014-05-04,7.2,1,0.6,0.103769539702142,8047.48999810219,1206.326,3203.425,2715.551,NA,978.279,NA,266.05,NA,1343.817,NA,NA,41.287
2014-05-05,6.66666666666667,-1,0,0.0716847942115322,7311.23100042343,1496.49,5100.812,NA,NA,197.199,276.685,36.412,141.978,NA,NA,NA,16.079
2014-05-06,NA,NA,NA,0.0812471303948576,14170.8059999943,1489.333,6236.372,1379.271,NA,829.67,101.564,517.403,1093.436,113.982,2403.134,NA,52.234
2014-05-07,6.8,-0.4,0,0.0701142498654254,9918.56699943542,1179.974,5419.953,1113.123,40.457,1922.369,7.066,228.986,NA,NA,NA,NA,6.024
2014-05-08,7,0,0.5,0.0520833333333333,2924.58599925041,822.101,1095.098,174.541,NA,376.454,NA,126.869,518.437,103.713,NA,NA,13.111
